,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,amnt_metrics
9,MED1,qda,81.81818181818181,3.856946079199349,66.25,9.325331391192249,94.66666666666669,3.5023801430836525,0.8940476190476192,0.0304519993274423,86.75,9.381164639851493,66.25,9.325331391192249,73.40367965367965,8.972048318150053,1
1,"('MED1', 'MED5')",qda,80.90909090909092,3.952193658051665,66.25,9.325331391192249,93.23809523809524,3.546772030556051,0.8924999999999998,0.0314312994847745,83.41666666666667,9.44314124995844,66.25,9.325331391192249,72.4512987012987,9.088301168138427,2
2,"('MED1', 'MED5', 'MED9')",qda,80.0,3.5906213923875447,67.5,9.516068282413464,90.5595238095238,3.4413637840073736,0.8952380952380953,0.0196374451418885,78.41666666666667,9.087881124515954,67.5,9.516068282413464,70.71320346320347,8.796152308051234,3
3,"('MED1', 'MED2', 'MED8', 'MED9')",qda,79.0909090909091,4.462886439503119,68.33333333333333,9.863653819283536,88.47619047619047,4.126019423267314,0.8958333333333334,0.0252993696873254,80.08333333333333,9.00960136003068,68.33333333333333,9.863653819283536,71.8531746031746,9.001487185012826,4
4,"('MED1', 'MED2', 'MED4', 'MED8', 'MED9')",qda,77.27272727272727,4.116084153698826,66.66666666666667,9.446486707295527,85.14285714285714,4.397896838107899,0.8799999999999999,0.0263994906499342,78.6547619047619,8.793132272976905,66.66666666666667,9.446486707295527,70.37265512265513,8.675184323127398,5
7,"('MED1', 'MED2', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",qda,77.27272727272727,3.214121732666124,56.25,8.296794896558282,98.57142857142858,1.3552618543578774,0.877142857142857,0.0284838936865465,88.00000000000001,9.465727652959384,56.25,8.296794896558282,66.60683760683762,7.94688012941968,8
5,"('MED1', 'MED3', 'MED4', 'MED5', 'MED7', 'MED8')",qda,76.36363636363637,2.9317300902903813,56.25,8.106281857643216,97.14285714285715,1.807015805810503,0.861547619047619,0.0422077285214304,84.66666666666667,9.570788891204318,56.25,8.106281857643216,65.77167277167277,7.94187477975642,6
6,"('MED1', 'MED2', 'MED4', 'MED6', 'MED8', 'MED9', 'MED10')",qda,76.36363636363637,3.2012394293925475,56.25,8.106281857643216,95.23809523809524,3.2991443953692903,0.8789285714285715,0.028768196449971,86.33333333333333,9.386160024205852,56.25,8.106281857643216,66.17460317460318,7.835627106632565,7
0,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",qda,75.45454545454547,3.162277660168379,55.00000000000001,7.901300877422371,95.23809523809524,3.2991443953692903,0.8548809523809524,0.0258415336995616,86.33333333333333,9.386160024205852,55.00000000000001,7.901300877422371,65.2954822954823,7.658790488313735,10
8,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED9', 'MED10')",qda,75.45454545454547,2.889136105831037,55.00000000000001,7.901300877422371,97.14285714285715,1.807015805810503,0.8435714285714285,0.0303116839839201,84.66666666666667,9.570788891204318,55.00000000000001,7.901300877422371,64.8925518925519,7.762895703344934,9
