,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel,amnt_metrics
2,"('MED1', 'MED3', 'MED5')",svm,85.7777777777778,2.170509412813294,80.0,4.0,91.0,3.521363372331802,0.905,0.0303726850969748,92.57142857142858,2.919323377015954,80.0,4.0,84.8974358974359,4.0,10.0,linear,3
4,"('MED1', 'MED2', 'MED3', 'MED5', 'MED9')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.905,0.0314085975490788,96.0,2.529822128134702,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1.0,linear,5
5,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED9')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.905,0.0314085975490788,96.0,2.529822128134702,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1.0,linear,6
6,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED10')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.629,0.1165199553724597,96.0,2.529822128134702,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1,linear,7
7,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED9', 'MED10')",svm,85.7777777777778,2.170509412813294,76.0,3.794733192202055,95.5,2.867926079939997,0.36,0.1147606204235581,96.0,2.529822128134702,76.0,3.794733192202055,84.05555555555557,3.794733192202055,1,linear,8
1,"('MED1', 'MED3')",svm,84.7777777777778,2.183269719175042,78.0,5.253570214625479,91.0,3.521363372331802,0.912,0.03088041450499,92.90476190476193,2.790045473015914,78.0,5.253570214625479,83.09151959151959,5.253570214625479,10.0,linear,2
3,"('MED1', 'MED3', 'MED5', 'MED10')",svm,84.7777777777778,2.601281735350223,78.0,5.253570214625479,91.0,3.521363372331802,0.1689999999999999,0.058214259421554,92.57142857142858,2.919323377015954,78.0,5.253570214625479,83.11172161172162,5.253570214625479,10.0,linear,4
8,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9')",svm,84.7777777777778,2.183269719175041,74.0,4.049691346263318,95.5,2.867926079939997,0.4553333333333333,0.1200288854123595,96.0,2.529822128134702,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear,9
9,MED1,svm,84.7777777777778,2.183269719175042,78.0,5.253570214625479,91.0,3.521363372331802,0.912,0.03088041450499,92.90476190476193,2.790045473015914,78.0,5.253570214625479,83.09151959151959,5.253570214625479,0.1,sigmoid,1
0,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,83.77777777777779,2.149935399546279,74.0,4.049691346263318,93.5,3.166228039797512,0.319,0.1061173878306472,94.0,2.898275349237887,74.0,4.049691346263318,81.7777777777778,4.049691346263318,1,linear,10
